date,latitude,longitude,temperature_c,humidity_percent,ndvi,fire_occurred,rainfall_mm,wind_speed_kmh,consecutive_dry_days,city,province,fire_cause,area_burned_ha,deaths
2020-09-13,36.3361,74.6429,19.0,48.3,0.616,0,26.6,23.8,4,Hunza,GB,None,0,0
2020-09-17,30.2006,66.9951,26.7,64.8,0.52,0,33.2,24.1,6,Quetta,Balochistan,None,0,0
2020-09-21,35.2047,72.3557,26.1,57.6,0.388,0,20.0,22.2,8,Swat,KPK,None,0,0
2020-09-25,31.3957,69.3859,28.0,34.0,0.358,0,28.2,6.9,4,Zhob,Balochistan,None,0,0
2020-09-29,35.8673,71.8515,27.2,49.4,0.3,0,49.5,5.2,8,Chitral,KPK,None,0,0
2020-10-03,30.2467,67.0597,15.6,29.9,0.202,0,8.6,11.5,3,Quetta,Balochistan,None,0,0
2020-10-07,35.1321,72.4377,24.3,15.4,0.39,0,8.2,12.8,2,Swat,KPK,None,0,0
2020-10-11,31.3469,69.4577,28.8,40.5,0.301,0,2.1,23.8,4,Zhob,Balochistan,None,0,0
2020-10-15,35.8433,71.7589,22.8,36.8,0.374,0,0.6,12.1,5,Chitral,KPK,None,0,0
2020-10-18,33.9942,71.5652,18.0,35.2,0.179,1,0.0,20.2,15,Peshawar,KPK,Human Activity,250,0
2020-10-19,35.4221,72.567,24.5,16.9,0.317,0,1.1,5.3,7,Kalam,KPK,None,0,0
2020-10-23,35.8975,74.3697,17.0,42.9,0.166,0,4.2,18.4,6,Gilgit,GB,None,0,0
2020-10-27,36.2385,74.6711,18.5,19.5,0.434,0,6.3,17.3,4,Hunza,GB,None,0,0
2020-10-31,30.2362,67.0646,15.7,42.5,0.391,0,5.0,24.2,5,Quetta,Balochistan,None,0,0
2020-11-04,31.4183,69.4594,9.4,32.0,0.167,0,6.8,16.1,5,Zhob,Balochistan,None,0,0
2020-11-05,35.5133,72.6168,17.3,30.9,0.134,1,0.0,16.8,7,Kalam,KPK,Dry Weather,600,0
2020-11-08,35.7896,71.8116,9.6,19.2,0.348,0,4.8,13.3,8,Chitral,KPK,None,0,0
2020-11-12,35.3921,72.5435,17.2,33.2,0.29,0,4.3,15.9,7,Kalam,KPK,None,0,0
2020-11-16,35.8467,74.4013,17.8,26.0,0.375,0,9.5,6.5,7,Gilgit,GB,None,0,0
2020-11-20,36.3532,74.6297,19.7,20.2,0.312,0,8.5,13.7,4,Hunza,GB,None,0,0
2020-11-24,30.2118,66.892,16.6,23.2,0.297,0,9.7,13.5,6,Quetta,Balochistan,None,0,0
2020-11-28,35.1606,72.3958,18.3,30.1,0.399,0,0.4,8.5,7,Swat,KPK,None,0,0
2020-12-02,35.823,74.3661,12.8,49.5,0.199,0,7.3,9.3,2,Gilgit,GB,None,0,0
2020-12-06,36.2718,74.6682,5.6,60.9,0.266,0,4.3,11.2,4,Hunza,GB,None,0,0
2020-12-10,30.0924,67.0346,14.8,50.8,0.269,0,7.5,16.6,5,Quetta,Balochistan,None,0,0
2020-12-14,35.1853,72.4733,8.8,58.1,0.188,0,2.8,20.3,3,Swat,KPK,None,0,0
2020-12-18,31.3715,69.358,15.1,49.9,0.42,0,3.3,22.4,6,Zhob,Balochistan,None,0,0
2020-12-22,35.9463,71.7485,5.2,53.5,0.237,0,7.7,15.2,5,Chitral,KPK,None,0,0
2020-12-26,35.5445,72.5875,5.1,37.6,0.306,0,6.6,25.0,0,Kalam,KPK,None,0,0
2020-12-30,35.9274,74.3223,12.7,35.1,0.226,0,7.9,12.7,5,Gilgit,GB,None,0,0
2021-01-03,30.2119,67.0215,4.6,33.1,0.339,0,0.5,23.5,6,Quetta,Balochistan,None,0,0
2021-01-07,35.2971,72.523,7.9,52.0,0.261,0,4.1,16.7,2,Swat,KPK,None,0,0
2021-01-11,31.2684,69.5015,4.1,47.7,0.346,0,1.5,9.3,7,Zhob,Balochistan,None,0,0
2021-01-15,35.78,71.8308,10.0,54.1,0.209,0,8.4,5.6,1,Chitral,KPK,None,0,0
2021-01-19,35.4357,72.5263,12.1,51.5,0.3,0,8.1,8.1,3,Kalam,KPK,None,0,0
2021-01-23,35.9627,74.3774,5.7,35.1,0.34,0,0.2,9.0,6,Gilgit,GB,None,0,0
2021-01-27,36.2318,74.5742,13.2,52.7,0.373,0,2.5,12.0,2,Hunza,GB,None,0,0
2021-01-31,30.1882,66.8897,13.2,33.5,0.321,0,8.3,18.7,6,Quetta,Balochistan,None,0,0
2021-02-04,31.3463,69.4849,21.5,42.3,0.429,0,6.2,8.3,0,Zhob,Balochistan,None,0,0
2021-02-08,35.8224,71.8336,9.4,64.4,0.25,0,8.4,13.5,1,Chitral,KPK,None,0,0
2021-02-12,35.5331,72.5784,7.8,44.8,0.305,0,7.2,5.8,1,Kalam,KPK,None,0,0
2021-02-16,36.0151,74.22,15.0,31.4,0.255,0,6.6,16.1,7,Gilgit,GB,None,0,0
2021-02-20,30.3525,67.6962,20.2,36.4,0.153,1,0.0,19.2,12,Ziarat,Balochistan,Dry Weather,2000,1
2021-02-20,36.3306,74.6973,8.7,59.3,0.255,0,3.0,17.5,8,Hunza,GB,None,0,0
2021-02-21,30.372,67.7225,21.9,32.6,0.169,1,0.0,24.7,22,Ziarat,Balochistan,Dry Weather,2000,0
2021-02-24,30.2306,66.9775,13.3,33.7,0.277,0,9.5,6.6,2,Quetta,Balochistan,None,0,0
2021-02-28,35.3137,72.4954,13.3,50.8,0.346,0,9.0,11.7,4,Swat,KPK,None,0,0
2021-03-04,31.3657,69.5288,16.9,18.3,0.191,0,3.7,8.5,0,Zhob,Balochistan,None,0,0
2021-03-08,35.8176,71.8753,12.3,22.1,0.152,0,1.5,5.2,5,Chitral,KPK,None,0,0
2021-03-10,35.8213,71.8104,20.5,18.2,0.153,1,0.0,10.6,14,Chitral,KPK,Human Activity,1100,0
2021-03-12,35.468,72.5505,17.1,19.1,0.428,0,2.4,22.3,5,Kalam,KPK,None,0,0
2021-03-16,35.8632,74.3476,21.6,41.0,0.346,0,8.0,18.5,7,Gilgit,GB,None,0,0
2021-03-20,36.2954,74.6042,23.1,15.2,0.196,0,1.6,21.1,8,Hunza,GB,None,0,0
2021-03-24,30.2352,67.0742,12.5,19.2,0.339,0,3.5,18.3,7,Quetta,Balochistan,None,0,0
2021-03-28,35.2301,72.4891,21.0,24.2,0.292,0,4.8,15.4,7,Swat,KPK,None,0,0
2021-04-01,35.8853,71.8764,19.4,19.4,0.36,0,4.0,27.8,4,Chitral,KPK,None,0,0
2021-04-05,35.2188,72.4379,32.1,10.5,0.241,1,0.0,34.5,18,Swat,KPK,Dry Weather,1800,2
2021-04-05,35.5847,72.5353,28.8,23.0,0.219,0,4.3,20.2,3,Kalam,KPK,None,0,0
2021-04-06,35.1898,72.4252,30.0,37.8,0.158,1,0.0,21.7,28,Swat,KPK,Dry Weather,1800,0
2021-04-09,35.9685,74.3223,28.6,38.2,0.227,0,4.0,37.1,8,Gilgit,GB,None,0,0
2021-04-13,36.2919,74.6293,26.6,16.1,0.385,0,4.8,26.6,4,Hunza,GB,None,0,0
2021-04-17,30.1796,67.0273,27.7,16.9,0.163,0,1.0,26.8,1,Quetta,Balochistan,None,0,0
2021-04-21,35.2356,72.3355,22.1,23.7,0.178,0,3.9,42.8,8,Swat,KPK,None,0,0
2021-04-25,31.4415,69.368,24.9,31.0,0.174,0,8.3,20.6,2,Zhob,Balochistan,None,0,0
2021-04-25,35.503,72.9613,26.9,26.5,0.328,1,0.0,27.0,16,Kohistan,KPK,Dry Weather,2500,0
2021-04-26,35.4768,72.9978,24.8,36.6,0.138,1,0.0,20.3,13,Kohistan,KPK,Dry Weather,2500,0
2021-04-27,35.5014,73.0432,27.0,33.5,0.241,1,0.0,24.1,20,Kohistan,KPK,Dry Weather,2500,0
2021-04-29,35.8935,71.8663,28.2,38.5,0.271,0,1.7,18.5,9,Chitral,KPK,None,0,0
2021-05-03,30.245,66.9513,34.2,17.2,0.249,0,3.7,34.4,9,Quetta,Balochistan,None,0,0
2021-05-07,35.187,72.4571,26.8,31.8,0.385,0,7.0,21.6,1,Swat,KPK,None,0,0
2021-05-11,31.3753,69.4177,38.4,16.5,0.202,0,5.1,34.2,3,Zhob,Balochistan,None,0,0
2021-05-12,35.1835,71.9043,28.2,8.0,0.223,1,0.0,44.3,25,Dir,KPK,Human Activity,1600,1
2021-05-13,35.201,71.8732,28.6,33.9,0.268,1,0.0,44.4,9,Dir,KPK,Human Activity,1600,0
2021-05-15,35.9398,71.869,33.7,19.2,0.421,0,0.6,23.7,7,Chitral,KPK,None,0,0
2021-05-19,35.4483,72.501,29.6,18.7,0.371,0,0.1,33.4,2,Kalam,KPK,None,0,0
2021-05-23,35.8583,74.3792,30.5,41.4,0.341,0,0.1,28.4,5,Gilgit,GB,None,0,0
2021-05-27,36.2584,74.5792,27.2,31.7,0.309,0,6.2,17.8,1,Hunza,GB,None,0,0
2021-05-30,35.8932,74.3317,32.1,17.1,0.166,1,1.8,29.7,20,Gilgit,GB,Dry Weather,900,0
2021-05-31,30.1517,66.9803,36.9,30.7,0.402,0,2.2,42.4,5,Quetta,Balochistan,None,0,0
2021-06-04,31.3734,69.4504,30.6,43.4,0.652,0,0.3,17.4,8,Zhob,Balochistan,None,0,0
2021-06-08,35.8601,71.7183,31.6,26.0,0.564,0,4.6,23.0,3,Chitral,KPK,None,0,0
2021-06-12,35.474,72.5604,27.4,30.0,0.633,0,8.1,25.0,4,Kalam,KPK,None,0,0
2021-06-15,31.3144,69.4574,43.8,8.4,0.159,1,0.0,37.0,17,Zhob,Balochistan,Lightning,1400,0
2021-06-16,36.0014,74.3938,26.6,37.2,0.541,0,6.5,17.4,2,Gilgit,GB,None,0,0
2021-06-20,36.2258,74.6958,26.7,23.4,0.446,0,5.4,36.6,8,Hunza,GB,None,0,0
2021-06-24,30.2591,66.9419,32.3,24.6,0.53,0,8.1,25.4,6,Quetta,Balochistan,None,0,0
2021-06-28,35.2542,72.3351,33.8,26.2,0.326,0,7.8,27.6,8,Swat,KPK,None,0,0
2021-07-02,35.8907,74.3874,24.6,51.4,0.389,0,31.0,17.3,4,Gilgit,GB,None,0,0
2021-07-06,36.225,74.6725,34.1,47.6,0.442,0,16.2,7.4,5,Hunza,GB,None,0,0
2021-07-08,34.6233,72.5345,39.4,53.1,0.31,1,0.0,9.1,29,Shangla,KPK,Human Activity,2200,3
2021-07-09,34.6606,72.5283,27.3,30.3,0.197,1,0.0,20.4,7,Shangla,KPK,Human Activity,2200,0
2021-07-10,30.2515,66.9774,28.7,33.8,0.641,0,13.4,8.1,0,Quetta,Balochistan,None,0,0
2021-07-14,35.2213,72.331,26.5,54.2,0.583,0,10.4,18.4,0,Swat,KPK,None,0,0
2021-07-18,31.3457,69.538,32.9,54.3,0.512,0,28.9,21.7,5,Zhob,Balochistan,None,0,0
2021-07-22,35.8205,71.7768,33.4,57.0,0.518,0,33.9,15.5,5,Chitral,KPK,None,0,0
2021-07-26,35.5003,72.508,25.4,63.7,0.683,0,34.4,11.2,0,Kalam,KPK,None,0,0
2021-07-30,35.9324,74.267,30.0,55.9,0.596,0,20.9,14.0,6,Gilgit,GB,None,0,0
2021-08-01,36.3448,74.6421,25.7,36.4,0.328,1,0.0,7.0,19,Hunza,GB,Dry Weather,700,0
2021-08-03,30.1488,66.9737,34.8,64.4,0.345,0,20.5,12.6,6,Quetta,Balochistan,None,0,0
2021-08-07,35.2898,72.4849,27.5,39.9,0.629,0,41.4,23.2,9,Swat,KPK,None,0,0
2021-08-11,31.2943,69.4443,26.9,61.6,0.418,0,11.8,18.0,9,Zhob,Balochistan,None,0,0
2021-08-15,35.8092,71.7314,33.6,30.6,0.602,0,30.1,13.0,2,Chitral,KPK,None,0,0
2021-08-19,35.4032,72.6237,23.9,52.7,0.501,0,16.1,12.7,0,Kalam,KPK,None,0,0
2021-08-23,35.8659,74.3556,25.0,34.7,0.673,0,13.8,22.6,2,Gilgit,GB,None,0,0
2021-08-27,36.3922,74.5838,27.7,58.1,0.386,0,25.2,16.7,5,Hunza,GB,None,0,0
2021-08-31,30.2174,67.0,27.0,46.5,0.459,0,30.4,14.9,7,Quetta,Balochistan,None,0,0
2021-09-04,31.4162,69.5127,24.0,35.4,0.554,0,10.5,19.0,4,Zhob,Balochistan,None,0,0
2021-09-08,35.824,71.7213,26.5,40.8,0.624,0,6.4,19.0,9,Chitral,KPK,None,0,0
2021-09-12,35.5395,72.5725,28.8,55.1,0.644,0,21.1,13.3,0,Kalam,KPK,None,0,0
2021-09-16,35.9546,74.2093,23.7,63.6,0.541,0,12.1,12.9,0,Gilgit,GB,None,0,0
2021-09-18,34.396,73.4884,28.9,46.5,0.174,1,0.0,16.7,17,Muzaffarabad,AJK,Dry Weather,500,0
2021-09-20,36.3517,74.7314,29.3,38.4,0.526,0,29.5,17.6,4,Hunza,GB,None,0,0
2021-09-24,30.1858,66.9193,31.5,61.3,0.405,0,40.2,24.7,7,Quetta,Balochistan,None,0,0
2021-09-28,35.2441,72.3938,19.7,45.7,0.396,0,21.5,12.2,0,Swat,KPK,None,0,0
2021-10-02,35.9551,74.3065,15.5,31.4,0.164,0,5.4,24.9,9,Gilgit,GB,None,0,0
2021-10-06,36.2897,74.7357,24.7,36.4,0.38,0,1.2,21.0,8,Hunza,GB,None,0,0
2021-10-10,30.1794,67.0286,14.6,40.7,0.376,0,6.0,21.6,2,Quetta,Balochistan,None,0,0
2021-10-14,35.3174,72.3884,20.3,22.2,0.283,0,2.2,22.8,6,Swat,KPK,None,0,0
2021-10-18,31.4033,69.4026,17.5,24.2,0.16,0,7.8,13.3,6,Zhob,Balochistan,None,0,0
2021-10-22,35.9009,71.7835,24.9,25.1,0.257,0,3.6,21.4,5,Chitral,KPK,None,0,0
2021-10-22,35.4732,72.533,23.9,13.7,0.342,1,0.0,11.8,9,Kalam,KPK,Human Activity,800,0
2021-10-26,35.5078,72.6686,15.6,37.6,0.334,0,5.2,5.4,6,Kalam,KPK,None,0,0
2021-10-30,35.8555,74.2746,24.6,31.8,0.335,0,8.6,9.1,7,Gilgit,GB,None,0,0
2021-11-03,30.2395,66.8884,9.5,23.4,0.426,0,7.4,12.4,1,Quetta,Balochistan,None,0,0
2021-11-07,35.2622,72.4835,19.8,42.5,0.276,0,3.4,16.0,5,Swat,KPK,None,0,0
2021-11-11,31.3198,69.4614,21.7,19.5,0.231,0,7.9,17.4,0,Zhob,Balochistan,None,0,0
2021-11-15,35.8159,71.7266,17.6,18.4,0.447,0,6.4,11.4,3,Chitral,KPK,None,0,0
2021-11-19,35.4407,72.5712,9.9,40.5,0.249,0,2.0,13.6,0,Kalam,KPK,None,0,0
2021-11-23,35.9007,74.3951,15.3,30.9,0.302,0,6.1,14.4,2,Gilgit,GB,None,0,0
2021-11-27,36.304,74.7258,16.8,15.7,0.342,0,3.8,24.0,4,Hunza,GB,None,0,0
2021-12-01,35.8358,71.8627,11.5,62.3,0.307,0,4.8,14.6,6,Chitral,KPK,None,0,0
2021-12-05,35.5636,72.4741,7.9,59.2,0.381,0,0.3,16.2,1,Kalam,KPK,None,0,0
2021-12-09,35.9185,74.3305,12.7,47.0,0.287,0,5.2,7.3,5,Gilgit,GB,None,0,0
2021-12-13,36.4078,74.7362,13.5,55.2,0.194,0,8.7,15.5,2,Hunza,GB,None,0,0
2021-12-17,30.2419,66.881,12.8,52.5,0.365,0,10.0,7.3,0,Quetta,Balochistan,None,0,0
2021-12-21,35.1737,72.3485,5.4,51.5,0.199,0,1.6,9.6,3,Swat,KPK,None,0,0
2021-12-25,31.363,69.5153,14.1,42.9,0.19,0,9.3,16.8,5,Zhob,Balochistan,None,0,0
2021-12-29,35.865,71.7431,8.7,39.0,0.331,0,5.6,18.6,3,Chitral,KPK,None,0,0
2022-01-02,35.843,74.3447,8.0,57.7,0.388,0,2.1,17.6,8,Gilgit,GB,None,0,0
2022-01-06,36.4126,74.6701,5.1,49.8,0.257,0,0.5,22.8,7,Hunza,GB,None,0,0
2022-01-10,30.1812,67.0204,12.5,61.8,0.203,0,2.0,12.3,4,Quetta,Balochistan,None,0,0
2022-01-14,35.153,72.4432,6.9,46.5,0.337,0,6.6,7.9,1,Swat,KPK,None,0,0
2022-01-18,31.3836,69.5101,3.5,42.5,0.387,0,0.4,8.9,3,Zhob,Balochistan,None,0,0
2022-01-22,35.9263,71.7713,8.4,61.0,0.258,0,7.7,6.5,2,Chitral,KPK,None,0,0
2022-01-26,35.5773,72.6664,13.6,41.9,0.192,0,9.6,10.5,6,Kalam,KPK,None,0,0
2022-01-30,35.9524,74.2673,8.6,32.7,0.217,0,6.1,18.4,1,Gilgit,GB,None,0,0
2022-02-03,30.2327,67.0586,9.1,33.0,0.239,0,3.9,12.3,0,Quetta,Balochistan,None,0,0
2022-02-07,35.2063,72.4913,8.8,56.4,0.388,0,3.0,6.3,0,Swat,KPK,None,0,0
2022-02-11,31.3471,69.3765,16.7,55.4,0.163,0,0.8,22.6,0,Zhob,Balochistan,None,0,0
2022-02-14,30.3549,67.7606,20.6,28.3,0.296,1,0.0,23.2,16,Ziarat,Balochistan,Dry Weather,1500,0
2022-02-15,35.8777,71.704,8.8,31.8,0.317,0,9.7,24.4,6,Chitral,KPK,None,0,0
2022-02-19,35.401,72.5243,9.6,54.6,0.329,0,9.2,7.5,0,Kalam,KPK,None,0,0
2022-02-23,35.8848,74.3622,10.3,43.9,0.172,0,3.3,24.2,2,Gilgit,GB,None,0,0
2022-02-27,36.3038,74.6518,16.6,50.9,0.182,0,9.7,5.8,8,Hunza,GB,None,0,0
2022-03-03,30.2134,67.017,26.6,32.8,0.438,0,4.4,13.4,6,Quetta,Balochistan,None,0,0
2022-03-07,35.2881,72.4044,22.0,44.4,0.289,0,9.1,16.8,8,Swat,KPK,None,0,0
2022-03-08,35.837,71.7787,27.1,19.7,0.258,1,0.0,19.6,11,Chitral,KPK,Human Activity,2000,2
2022-03-09,35.8753,71.8264,19.4,38.6,0.266,1,0.0,7.1,23,Chitral,KPK,Human Activity,2000,0
2022-03-11,31.3665,69.4822,15.6,32.0,0.185,0,6.4,14.3,7,Zhob,Balochistan,None,0,0
2022-03-15,35.8628,71.827,17.9,33.2,0.313,0,6.9,5.5,8,Chitral,KPK,None,0,0
2022-03-19,35.5624,72.4766,21.8,39.8,0.328,0,4.4,21.7,7,Kalam,KPK,None,0,0
2022-03-23,35.8235,74.2765,22.3,16.8,0.36,0,9.2,10.0,5,Gilgit,GB,None,0,0
2022-03-25,35.2652,72.4645,28.3,33.4,0.256,1,0.0,23.9,5,Swat,KPK,Dry Weather,3000,4
2022-03-26,35.249,72.4441,18.0,8.2,0.301,1,0.0,20.7,17,Swat,KPK,Dry Weather,3000,0
2022-03-27,36.3154,74.6227,12.8,38.3,0.288,0,9.1,12.9,5,Hunza,GB,None,0,0
2022-03-27,35.2717,72.462,16.4,11.2,0.206,1,0.0,13.3,24,Swat,KPK,Dry Weather,3000,0
2022-03-31,30.112,66.9941,21.8,31.4,0.31,0,9.3,22.9,1,Quetta,Balochistan,None,0,0
2022-04-04,31.352,69.4212,19.9,20.5,0.255,0,3.9,42.4,0,Zhob,Balochistan,None,0,0
2022-04-08,35.8757,71.8278,24.7,28.1,0.252,0,1.3,25.0,9,Chitral,KPK,None,0,0
