date,latitude,longitude,rainfall_mm,max_24hr_rainfall_mm,slope_degree,elevation_m,soil_type,consecutive_wet_days,landslide_occurred,city,province,landslide_cause,deaths,people_affected
2020-04-30,35.2986,72.4298,7.9,3.5,19.9,2311,Rocky,3,0,Swat,KPK,None,0,0
2020-05-04,36.2755,74.7385,15.3,7.2,11.0,4931,Loam,4,0,Hunza,GB,None,0,0
2020-05-08,34.3379,73.4932,0.0,0.0,20.7,2077,Clay,0,0,Muzaffarabad,AJK,None,0,0
2020-05-08,35.1873,72.4248,83.2,72.3,41.8,3090,Sandy Loam,3,1,Swat,KPK,Heavy Rain,5,300
2020-05-12,35.3004,72.4148,23.8,10.4,11.5,2791,Clay,2,0,Swat,KPK,None,0,0
2020-05-16,36.3358,74.6417,0.0,0.0,19.8,2833,Clay,3,0,Hunza,GB,None,0,0
2020-05-20,34.3515,73.5134,0.0,0.0,26.4,1250,Sandy Loam,1,0,Muzaffarabad,AJK,None,0,0
2020-05-24,35.1376,72.4503,3.1,1.8,14.9,2435,Clay,1,0,Swat,KPK,None,0,0
2020-05-28,36.3412,74.5691,2.9,1.5,27.3,1888,Loam,4,0,Hunza,GB,None,0,0
2020-06-01,35.9455,74.2596,27.9,8.4,24.8,2722,Silt,1,0,Gilgit,GB,None,0,0
2020-06-05,35.2493,71.7962,6.0,4.2,13.7,1304,Clay,0,0,Dir,KPK,None,0,0
2020-06-09,35.7688,71.8481,12.0,4.4,20.0,1493,Clay,2,0,Chitral,KPK,None,0,0
2020-06-13,35.9215,74.2343,0.0,0.0,24.3,2226,Clay,3,0,Gilgit,GB,None,0,0
2020-06-15,35.9627,74.3086,58.1,34.9,52.4,1628,Sandy Loam,9,1,Gilgit,GB,Heavy Rain,2,150
2020-06-16,35.8838,74.2603,40.4,27.3,57.0,4491,Rocky,4,1,Gilgit,GB,Heavy Rain,0,150
2020-06-17,35.9333,74.2691,37.6,28.0,54.9,3791,Clay,9,1,Gilgit,GB,Heavy Rain,0,150
2020-06-17,35.2786,71.8935,10.9,3.4,25.5,2663,Sandy Loam,2,0,Dir,KPK,None,0,0
2020-06-21,35.8828,71.7049,6.9,2.9,29.3,1499,Loam,4,0,Chitral,KPK,None,0,0
2020-06-25,35.9906,74.2803,19.0,8.3,21.5,4422,Sandy Loam,4,0,Gilgit,GB,None,0,0
2020-06-29,35.2108,71.9412,4.7,2.0,28.6,1013,Rocky,2,0,Dir,KPK,None,0,0
2020-07-03,35.9483,71.7949,14.0,6.9,11.9,1621,Sandy Loam,3,0,Chitral,KPK,None,0,0
2020-07-07,35.8248,74.3717,23.5,16.0,28.9,4534,Loam,4,0,Gilgit,GB,None,0,0
2020-07-11,35.19,71.9387,0.0,0.0,15.6,1593,Loam,0,0,Dir,KPK,None,0,0
2020-07-12,35.463,73.0319,47.3,37.1,48.1,1686,Sandy Loam,12,1,Kohistan,KPK,Monsoon Rain,12,800
2020-07-13,35.5151,73.0347,65.2,45.1,49.3,2705,Sandy Loam,4,1,Kohistan,KPK,Monsoon Rain,0,800
2020-07-14,35.514,72.9622,28.8,20.7,47.5,2823,Clay,13,1,Kohistan,KPK,Monsoon Rain,0,800
2020-07-15,35.9147,71.6964,11.6,7.1,10.7,2123,Clay,1,0,Chitral,KPK,None,0,0
2020-07-19,35.8348,74.2357,15.3,6.3,29.1,4783,Loam,4,0,Gilgit,GB,None,0,0
2020-07-23,35.2663,71.9268,23.7,16.3,27.5,2537,Loam,1,0,Dir,KPK,None,0,0
2020-07-25,34.3642,73.4331,108.4,75.0,41.1,1950,Loam,3,1,Muzaffarabad,AJK,Monsoon Rain,6,400
2020-07-26,34.3743,73.4377,53.0,43.5,39.3,1320,Loam,7,1,Muzaffarabad,AJK,Monsoon Rain,0,400
2020-07-27,35.8656,71.7448,6.2,3.1,14.3,1166,Silt,0,0,Chitral,KPK,None,0,0
2020-07-31,35.8344,74.2319,0.0,0.0,13.5,1313,Clay,0,0,Gilgit,GB,None,0,0
2020-08-04,36.4036,74.6044,11.6,4.0,26.7,4787,Clay,2,0,Hunza,GB,None,0,0
2020-08-05,35.1982,71.831,78.2,53.8,47.1,2525,Clay,11,1,Dir,KPK,Monsoon Rain,9,600
2020-08-08,34.4537,73.4314,26.6,14.7,21.7,1267,Clay,3,0,Muzaffarabad,AJK,None,0,0
2020-08-12,35.1455,72.4162,11.6,5.1,22.3,846,Clay,2,0,Swat,KPK,None,0,0
2020-08-16,36.3276,74.5809,0.0,0.0,22.9,2462,Sandy Loam,1,0,Hunza,GB,None,0,0
2020-08-20,34.6533,72.4824,54.6,32.9,44.9,861,Rocky,13,1,Shangla,KPK,Monsoon Rain,7,450
2020-08-20,34.2821,73.4062,11.2,4.8,16.2,2230,Loam,4,0,Muzaffarabad,AJK,None,0,0
2020-08-21,34.6389,72.5626,39.7,27.7,46.6,2143,Loam,8,1,Shangla,KPK,Monsoon Rain,0,450
2020-08-24,35.2151,72.4235,23.1,11.5,23.8,1215,Clay,4,0,Swat,KPK,None,0,0
2020-08-28,36.402,74.6243,2.9,1.6,18.7,1510,Sandy Loam,4,0,Hunza,GB,None,0,0
2020-09-01,35.9335,74.2937,4.2,1.8,12.2,2762,Sandy Loam,4,0,Gilgit,GB,None,0,0
2020-09-05,35.2052,71.8207,4.1,1.8,12.5,3406,Loam,3,0,Dir,KPK,None,0,0
2020-09-09,35.8683,71.798,0.0,0.0,24.9,2277,Clay,4,0,Chitral,KPK,None,0,0
2020-09-10,35.4478,76.7341,32.9,20.4,62.1,3746,Sandy Loam,3,1,Ghanche,GB,Heavy Rain,4,200
2020-09-11,35.4621,76.7254,54.2,39.9,60.0,4203,Loam,5,1,Ghanche,GB,Heavy Rain,0,200
2020-09-12,35.5164,76.7677,33.5,19.7,58.9,2974,Clay,10,1,Ghanche,GB,Heavy Rain,0,200
2020-09-13,35.9496,74.393,0.0,0.0,20.8,1328,Clay,3,0,Gilgit,GB,None,0,0
2020-09-17,35.1821,71.8011,6.1,3.9,15.3,914,Sandy Loam,2,0,Dir,KPK,None,0,0
2020-09-21,35.9279,71.781,0.9,0.5,27.5,2163,Sandy Loam,0,0,Chitral,KPK,None,0,0
2020-09-25,35.9503,74.2491,10.1,5.5,11.9,2646,Loam,3,0,Gilgit,GB,None,0,0
2020-09-29,35.157,71.9336,19.8,7.6,23.4,2948,Loam,0,0,Dir,KPK,None,0,0
2020-10-02,34.5372,73.8744,35.9,19.8,50.9,1704,Loam,13,1,Neelum Valley,AJK,Heavy Rain,3,180
2020-10-03,34.5881,73.9476,28.2,14.6,50.2,1575,Loam,8,1,Neelum Valley,AJK,Heavy Rain,0,180
2020-10-03,35.7838,71.842,7.8,5.3,21.0,2012,Sandy Loam,4,0,Chitral,KPK,None,0,0
2020-10-07,35.9717,74.3573,3.2,1.8,27.4,2347,Clay,2,0,Gilgit,GB,None,0,0
2020-10-11,35.2669,71.8776,1.2,0.5,14.4,2519,Silt,2,0,Dir,KPK,None,0,0
2020-10-15,35.8574,71.7799,0.0,0.0,19.2,1612,Clay,1,0,Chitral,KPK,None,0,0
2020-10-19,35.8555,74.3841,11.7,4.9,20.6,3611,Clay,2,0,Gilgit,GB,None,0,0
2020-10-23,35.2026,71.8671,0.0,0.0,10.7,2939,Loam,0,0,Dir,KPK,None,0,0
2020-10-27,35.8084,71.7824,23.4,8.0,14.8,1943,Loam,1,0,Chitral,KPK,None,0,0
2020-10-31,35.8363,74.3822,25.3,14.1,22.4,1736,Loam,2,0,Gilgit,GB,None,0,0
2020-11-04,36.2932,74.6504,0.0,0.0,24.0,1735,Sandy Loam,0,0,Hunza,GB,None,0,0
2020-11-08,34.3415,73.5505,6.2,1.9,18.9,2768,Silt,3,0,Muzaffarabad,AJK,None,0,0
2020-11-12,35.292,72.3799,0.0,0.0,27.9,1687,Silt,4,0,Swat,KPK,None,0,0
2020-11-16,36.2586,74.5596,0.0,0.0,26.6,1680,Silt,3,0,Hunza,GB,None,0,0
2020-11-20,34.3947,73.4947,0.7,0.3,12.0,972,Clay,1,0,Muzaffarabad,AJK,None,0,0
2020-11-24,35.2985,72.5221,16.6,6.9,18.0,912,Sandy Loam,2,0,Swat,KPK,None,0,0
2020-11-28,36.4058,74.5947,0.0,0.0,22.6,4195,Rocky,0,0,Hunza,GB,None,0,0
2020-12-02,34.4434,73.4864,11.0,6.9,25.7,1517,Loam,0,0,Muzaffarabad,AJK,None,0,0
2020-12-06,35.3108,72.3487,15.9,9.8,19.2,1403,Sandy Loam,1,0,Swat,KPK,None,0,0
2020-12-10,36.4156,74.5672,9.2,5.0,16.5,1236,Silt,1,0,Hunza,GB,None,0,0
2020-12-14,34.2803,73.5323,0.0,0.0,19.2,2235,Loam,2,0,Muzaffarabad,AJK,None,0,0
2020-12-18,35.2436,72.4405,0.0,0.0,16.0,2188,Loam,0,0,Swat,KPK,None,0,0
2020-12-22,36.2393,74.6425,0.0,0.0,26.2,3459,Loam,1,0,Hunza,GB,None,0,0
2020-12-26,34.3515,73.4255,15.6,7.7,12.9,1408,Clay,1,0,Muzaffarabad,AJK,None,0,0
2020-12-30,35.212,72.3361,3.0,1.8,29.5,1236,Loam,0,0,Swat,KPK,None,0,0
2021-01-03,35.8478,71.8541,24.7,13.4,21.2,872,Loam,0,0,Chitral,KPK,None,0,0
2021-01-07,36.022,74.3917,14.7,4.6,13.8,2114,Loam,4,0,Gilgit,GB,None,0,0
2021-01-11,35.1578,71.8288,0.0,0.0,24.1,2419,Loam,0,0,Dir,KPK,None,0,0
2021-01-15,35.8274,71.821,3.2,2.0,19.6,1094,Sandy Loam,2,0,Chitral,KPK,None,0,0
2021-01-19,35.9764,74.2449,2.4,0.7,26.7,2605,Loam,1,0,Gilgit,GB,None,0,0
2021-01-23,35.1575,71.8367,2.4,1.2,18.5,2985,Sandy Loam,2,0,Dir,KPK,None,0,0
2021-01-27,35.8865,71.8311,1.8,0.9,29.4,3025,Clay,0,0,Chitral,KPK,None,0,0
2021-01-31,35.8946,74.2103,4.4,1.4,17.4,2187,Clay,4,0,Gilgit,GB,None,0,0
2021-02-04,36.3164,74.7277,0.0,0.0,10.9,4073,Clay,4,0,Hunza,GB,None,0,0
2021-02-08,34.3265,73.4003,18.4,7.5,22.8,1994,Sandy Loam,4,0,Muzaffarabad,AJK,None,0,0
2021-02-12,35.1664,72.5253,20.8,9.3,13.7,2681,Clay,4,0,Swat,KPK,None,0,0
2021-02-16,36.3871,74.6051,0.0,0.0,11.9,1963,Clay,4,0,Hunza,GB,None,0,0
2021-02-20,34.3183,73.3988,0.7,0.4,22.4,1199,Silt,2,0,Muzaffarabad,AJK,None,0,0
2021-02-24,35.1955,72.451,0.0,0.0,14.6,2109,Loam,2,0,Swat,KPK,None,0,0
2021-02-28,36.2787,74.6197,26.2,11.7,18.9,1813,Loam,4,0,Hunza,GB,None,0,0
2021-03-04,36.4077,74.6926,0.0,0.0,28.9,1944,Loam,2,0,Hunza,GB,None,0,0
2021-03-08,34.3231,73.5657,0.0,0.0,21.4,724,Loam,1,0,Muzaffarabad,AJK,None,0,0
2021-03-12,35.2913,72.3349,14.8,9.9,23.8,2604,Sandy Loam,1,0,Swat,KPK,None,0,0
2021-03-16,36.2656,74.7217,0.0,0.0,21.6,3988,Sandy Loam,3,0,Hunza,GB,None,0,0
2021-03-18,35.8139,71.7404,46.8,38.3,44.1,1745,Rocky,4,1,Chitral,KPK,Snowmelt,5,300
2021-03-19,35.8077,71.8139,41.4,34.4,49.2,3489,Sandy Loam,4,1,Chitral,KPK,Snowmelt,0,300
2021-03-20,34.434,73.3888,7.5,4.0,11.0,2163,Clay,4,0,Muzaffarabad,AJK,None,0,0
2021-03-24,35.281,72.3725,28.5,17.0,11.0,1290,Sandy Loam,3,0,Swat,KPK,None,0,0
2021-03-28,36.3678,74.6109,8.0,4.4,14.0,2961,Loam,0,0,Hunza,GB,None,0,0
2021-04-01,35.9533,74.4035,7.2,2.8,25.7,4631,Clay,2,0,Gilgit,GB,None,0,0
2021-04-05,35.2333,71.8769,1.3,0.5,20.1,3009,Sandy Loam,4,0,Dir,KPK,None,0,0
2021-04-09,35.9202,71.7918,11.6,7.0,22.8,882,Silt,0,0,Chitral,KPK,None,0,0
2021-04-13,35.9081,74.2126,0.0,0.0,19.2,2281,Loam,0,0,Gilgit,GB,None,0,0
2021-04-17,35.1911,71.7954,0.0,0.0,13.0,1861,Rocky,1,0,Dir,KPK,None,0,0
2021-04-21,35.9315,71.7031,10.0,6.4,14.1,2655,Loam,4,0,Chitral,KPK,None,0,0
2021-04-22,36.269,74.6272,43.4,31.9,50.6,1681,Loam,10,1,Hunza,GB,Snowmelt,4,600
2021-04-23,36.3376,74.6346,28.3,21.4,50.3,3310,Clay,11,1,Hunza,GB,Snowmelt,0,600
2021-04-24,36.3244,74.6712,26.1,13.2,52.2,1596,Clay,14,1,Hunza,GB,Snowmelt,0,600
2021-04-25,35.9157,74.2685,4.1,2.7,14.0,4967,Clay,3,0,Gilgit,GB,None,0,0
2021-04-29,35.2846,71.9172,0.0,0.0,28.4,1955,Silt,3,0,Dir,KPK,None,0,0
2021-05-03,35.9366,71.875,23.7,15.5,29.8,1143,Clay,3,0,Chitral,KPK,None,0,0
2021-05-07,36.0024,74.2898,0.0,0.0,24.0,3415,Clay,0,0,Gilgit,GB,None,0,0
2021-05-11,35.2601,71.8058,0.0,0.0,10.9,1135,Loam,2,0,Dir,KPK,None,0,0
2021-05-15,35.8329,71.7459,2.2,1.3,11.3,1341,Silt,2,0,Chitral,KPK,None,0,0
2021-05-15,35.2505,72.4446,83.5,53.3,43.2,3084,Clay,13,1,Swat,KPK,Heavy Rain,8,500
2021-05-16,35.2153,72.4372,22.3,16.6,41.1,2252,Sandy Loam,14,1,Swat,KPK,Heavy Rain,0,500
2021-05-17,35.1893,72.4502,19.0,16.6,38.5,2263,Clay,14,1,Swat,KPK,Heavy Rain,0,500
2021-05-19,35.8731,74.3918,3.2,1.1,23.8,4405,Sandy Loam,1,0,Gilgit,GB,None,0,0
2021-05-23,35.2403,71.7996,0.0,0.0,26.3,829,Clay,1,0,Dir,KPK,None,0,0
2021-05-27,35.8878,71.8233,0.0,0.0,19.5,1136,Loam,2,0,Chitral,KPK,None,0,0
2021-05-31,35.9635,74.3238,9.1,5.1,14.2,1572,Loam,3,0,Gilgit,GB,None,0,0
2021-06-04,36.3085,74.6078,6.3,4.2,22.2,3562,Loam,4,0,Hunza,GB,None,0,0
2021-06-08,34.2759,73.4501,3.5,2.1,15.8,885,Clay,3,0,Muzaffarabad,AJK,None,0,0
2021-06-08,35.8986,74.3158,55.9,28.7,56.6,4853,Clay,12,1,Gilgit,GB,Heavy Rain,3,250
2021-06-12,35.3116,72.3676,0.0,0.0,14.8,2925,Clay,1,0,Swat,KPK,None,0,0
2021-06-16,36.343,74.6603,11.9,5.5,16.5,4425,Sandy Loam,2,0,Hunza,GB,None,0,0
2021-06-20,34.355,73.4639,0.0,0.0,19.8,2776,Sandy Loam,2,0,Muzaffarabad,AJK,None,0,0
2021-06-24,35.2044,72.3667,0.0,0.0,15.0,2020,Clay,1,0,Swat,KPK,None,0,0
2021-06-28,36.3619,74.7259,11.6,3.6,22.0,3423,Rocky,3,0,Hunza,GB,None,0,0
2021-07-02,34.2766,73.4007,3.0,2.0,28.4,1045,Clay,1,0,Muzaffarabad,AJK,None,0,0
2021-07-04,35.4603,73.0467,103.9,69.7,47.1,1937,Clay,2,1,Kohistan,KPK,Monsoon Rain,15,1000
2021-07-06,35.2344,72.4525,2.6,0.9,29.7,2968,Loam,0,0,Swat,KPK,None,0,0
2021-07-10,36.2324,74.6901,0.0,0.0,24.1,4874,Rocky,4,0,Hunza,GB,None,0,0
2021-07-14,34.4652,73.5182,26.5,13.1,30.0,952,Sandy Loam,1,0,Muzaffarabad,AJK,None,0,0
2021-07-18,35.1615,72.3899,14.9,4.5,15.7,1695,Silt,4,0,Swat,KPK,None,0,0
2021-07-18,35.1987,71.8751,52.4,26.5,47.2,2697,Clay,6,1,Dir,KPK,Monsoon Rain,10,700
2021-07-19,35.1617,71.914,65.0,53.5,42.2,1574,Clay,11,1,Dir,KPK,Monsoon Rain,0,700
2021-07-20,35.2497,71.8646,38.0,28.5,47.4,2290,Loam,12,1,Dir,KPK,Monsoon Rain,0,700
2021-07-22,36.3394,74.7114,3.7,1.9,22.0,3041,Loam,3,0,Hunza,GB,None,0,0
2021-07-26,34.3448,73.5178,0.0,0.0,21.1,2095,Loam,3,0,Muzaffarabad,AJK,None,0,0
2021-07-30,34.4131,73.4639,83.0,60.2,43.3,1491,Loam,9,1,Muzaffarabad,AJK,Monsoon Rain,7,500
2021-07-30,35.3091,72.4731,0.0,0.0,28.5,1413,Loam,1,0,Swat,KPK,None,0,0
2021-08-03,35.8919,71.833,6.0,2.1,22.4,1630,Loam,4,0,Chitral,KPK,None,0,0
2021-08-07,35.989,74.2214,12.7,7.7,27.5,1351,Clay,4,0,Gilgit,GB,None,0,0
2021-08-11,35.2249,71.9359,0.0,0.0,27.4,2621,Clay,1,0,Dir,KPK,None,0,0
2021-08-12,34.6364,72.4973,62.6,47.2,47.6,1977,Clay,13,1,Shangla,KPK,Monsoon Rain,11,800
2021-08-15,35.7891,71.7072,2.0,1.0,26.4,2864,Clay,0,0,Chitral,KPK,None,0,0
2021-08-19,35.9418,74.4052,2.4,1.0,29.4,1784,Loam,1,0,Gilgit,GB,None,0,0
2021-08-23,35.1507,71.8766,26.2,14.3,23.4,3174,Loam,0,0,Dir,KPK,None,0,0
2021-08-27,35.8315,71.8053,1.9,1.2,15.0,2309,Loam,0,0,Chitral,KPK,None,0,0
2021-08-31,35.8863,74.2364,7.2,2.5,27.0,2731,Silt,4,0,Gilgit,GB,None,0,0
2021-09-02,35.5099,76.7563,86.2,54.3,64.1,1772,Loam,10,1,Ghanche,GB,Heavy Rain,5,300
2021-09-04,36.3118,74.737,1.9,1.1,11.1,3164,Loam,2,0,Hunza,GB,None,0,0
2021-09-08,34.3334,73.5532,13.6,6.4,11.9,2424,Sandy Loam,3,0,Muzaffarabad,AJK,None,0,0
2021-09-12,35.2812,72.5061,0.0,0.0,10.2,2265,Silt,2,0,Swat,KPK,None,0,0
2021-09-16,36.2617,74.7011,10.9,7.2,16.6,2227,Loam,2,0,Hunza,GB,None,0,0
2021-09-20,34.3159,73.4131,0.0,0.0,24.1,2664,Clay,1,0,Muzaffarabad,AJK,None,0,0
2021-09-24,35.2099,72.3316,8.3,5.4,17.2,1894,Clay,1,0,Swat,KPK,None,0,0
2021-09-28,36.2288,74.6296,0.0,0.0,28.5,2210,Clay,4,0,Hunza,GB,None,0,0
2021-10-02,34.3285,73.4439,0.0,0.0,10.2,2399,Loam,4,0,Muzaffarabad,AJK,None,0,0
2021-10-06,35.3155,72.4288,0.0,0.0,25.8,1373,Clay,3,0,Swat,KPK,None,0,0
2021-10-10,36.2307,74.685,0.0,0.0,24.9,4102,Loam,0,0,Hunza,GB,None,0,0
2021-10-14,34.6152,73.9372,75.1,64.5,54.9,2697,Sandy Loam,11,1,Neelum Valley,AJK,Heavy Rain,4,220
2021-10-14,34.2935,73.4008,12.0,6.0,20.5,1861,Silt,3,0,Muzaffarabad,AJK,None,0,0
2021-10-15,34.5988,73.9054,61.1,43.4,51.1,1357,Clay,9,1,Neelum Valley,AJK,Heavy Rain,0,220
2021-10-18,35.2908,72.3328,0.0,0.0,12.2,1180,Sandy Loam,2,0,Swat,KPK,None,0,0
2021-10-22,36.2264,74.5891,11.8,6.4,12.5,4363,Silt,2,0,Hunza,GB,None,0,0
2021-10-26,34.2756,73.543,1.0,0.7,19.8,2085,Silt,1,0,Muzaffarabad,AJK,None,0,0
2021-10-30,35.1452,72.4444,5.0,3.3,24.2,3161,Loam,4,0,Swat,KPK,None,0,0
2021-11-03,35.8471,71.691,0.0,0.0,28.1,3130,Silt,0,0,Chitral,KPK,None,0,0
2021-11-05,34.2202,71.0516,27.1,19.6,38.9,3052,Clay,4,1,Khyber,KPK,Heavy Rain,2,150
2021-11-07,35.9194,74.3524,0.0,0.0,29.9,3419,Clay,4,0,Gilgit,GB,None,0,0
2021-11-11,35.2245,71.8792,0.0,0.0,14.3,3474,Clay,0,0,Dir,KPK,None,0,0
2021-11-15,35.7603,71.7684,7.8,5.4,19.7,1009,Loam,1,0,Chitral,KPK,None,0,0
2021-11-19,35.9108,74.255,0.0,0.0,22.6,3862,Sandy Loam,0,0,Gilgit,GB,None,0,0
2021-11-23,35.2436,71.8915,11.2,3.7,24.7,2073,Loam,3,0,Dir,KPK,None,0,0
2021-11-27,35.7518,71.7452,27.8,19.2,10.9,1864,Clay,1,0,Chitral,KPK,None,0,0
2021-12-01,35.9752,74.3715,0.0,0.0,24.8,4105,Loam,4,0,Gilgit,GB,None,0,0
2021-12-05,35.1469,71.8825,8.5,3.2,10.2,1440,Clay,3,0,Dir,KPK,None,0,0
2021-12-09,35.8779,71.767,11.1,5.5,17.9,2979,Rocky,2,0,Chitral,KPK,None,0,0
2021-12-13,35.8892,74.2149,4.2,1.3,27.7,3254,Loam,3,0,Gilgit,GB,None,0,0
2021-12-17,35.1406,71.7977,21.7,11.5,15.6,1221,Loam,1,0,Dir,KPK,None,0,0
2021-12-21,35.794,71.6978,4.4,2.5,12.2,1026,Rocky,0,0,Chitral,KPK,None,0,0
2021-12-25,35.8485,74.2093,21.3,14.2,28.9,1421,Loam,4,0,Gilgit,GB,None,0,0
2021-12-29,35.2978,71.888,0.0,0.0,26.4,3231,Loam,1,0,Dir,KPK,None,0,0
2022-01-02,34.3342,73.4876,25.4,12.4,17.9,2957,Rocky,2,0,Muzaffarabad,AJK,None,0,0
2022-01-06,35.1665,72.4666,7.9,5.4,23.5,3138,Clay,4,0,Swat,KPK,None,0,0
2022-01-10,36.2424,74.6783,17.0,7.3,25.1,4841,Rocky,4,0,Hunza,GB,None,0,0
2022-01-14,34.3301,73.3878,0.0,0.0,29.3,854,Loam,1,0,Muzaffarabad,AJK,None,0,0
2022-01-18,35.1878,72.4139,28.1,9.3,10.1,3233,Clay,1,0,Swat,KPK,None,0,0
2022-01-22,36.3839,74.6926,0.0,0.0,24.1,1308,Sandy Loam,3,0,Hunza,GB,None,0,0
2022-01-26,34.4011,73.3946,22.0,9.3,27.4,1597,Loam,3,0,Muzaffarabad,AJK,None,0,0
2022-01-30,35.1732,72.346,0.0,0.0,16.3,1332,Rocky,2,0,Swat,KPK,None,0,0
2022-02-03,35.9319,71.7414,12.5,6.3,24.2,2003,Sandy Loam,0,0,Chitral,KPK,None,0,0
2022-02-07,35.8669,74.2421,0.0,0.0,16.6,3443,Clay,0,0,Gilgit,GB,None,0,0
2022-02-11,35.1415,71.895,5.6,3.8,12.8,1186,Sandy Loam,4,0,Dir,KPK,None,0,0
2022-02-15,35.9372,71.7373,0.0,0.0,28.0,3302,Loam,1,0,Chitral,KPK,None,0,0
2022-02-19,35.9496,74.3666,0.0,0.0,11.5,2409,Rocky,2,0,Gilgit,GB,None,0,0
2022-02-23,35.2076,71.7853,7.6,4.2,20.8,2263,Clay,1,0,Dir,KPK,None,0,0
2022-02-27,35.7531,71.7864,0.0,0.0,15.6,2489,Sandy Loam,4,0,Chitral,KPK,None,0,0
2022-03-03,35.9072,71.7229,2.1,0.6,19.0,3356,Loam,4,0,Chitral,KPK,None,0,0
2022-03-07,35.8304,74.2169,7.6,4.1,15.0,2426,Sandy Loam,4,0,Gilgit,GB,None,0,0
2022-03-10,35.8094,71.8188,29.1,16.7,45.5,3197,Clay,2,1,Chitral,KPK,Snowmelt,6,350
2022-03-11,35.852,71.7712,27.7,20.7,50.9,848,Loam,7,1,Chitral,KPK,Snowmelt,0,350
2022-03-11,35.1277,71.8932,14.9,8.8,28.2,1824,Clay,2,0,Dir,KPK,None,0,0
