date,latitude,longitude,temp_max_c,temp_min_c,humidity_percent,heat_index_c,rainfall_mm,consecutive_dry_days,heatwave_occurred,city,province,deaths
2020-06-24,27.7052,68.8574,44.1,35.9,30.9,46.1,0.0,11,1,Sukkur,Sindh,0
2020-06-25,30.1798,66.975,43.0,29.2,12.9,44.7,1.0,12,0,Quetta,Balochistan,0
2020-06-25,27.7052,68.8574,43.2,34.3,35.2,48.4,0.0,17,1,Sukkur,Sindh,0
2020-06-26,27.7052,68.8574,42.1,34.4,36.2,48.0,0.0,40,1,Sukkur,Sindh,0
2020-06-27,27.7052,68.8574,40.4,35.9,29.9,44.1,0.0,36,1,Sukkur,Sindh,0
2020-06-28,27.7052,68.8574,40.2,32.2,33.4,42.4,0.0,41,1,Sukkur,Sindh,0
2020-06-29,31.5204,74.3587,41.0,30.4,26.9,39.0,2.8,10,0,Lahore,Punjab,0
2020-07-01,30.0631,70.6339,44.4,32.4,30.5,47.5,0.0,15,1,DG Khan,Punjab,1
2020-07-02,30.0631,70.6339,42.7,34.3,32.0,46.1,0.0,25,1,DG Khan,Punjab,0
2020-07-03,30.0631,70.6339,41.9,34.5,29.8,47.4,0.0,18,1,DG Khan,Punjab,0
2020-07-03,25.396,68.3578,32.6,32.9,58.2,32.4,5.4,3,0,Hyderabad,Sindh,0
2020-07-04,30.0631,70.6339,41.5,34.8,28.5,44.5,0.0,27,1,DG Khan,Punjab,0
2020-07-05,30.0631,70.6339,40.3,33.3,28.6,43.1,0.0,18,1,DG Khan,Punjab,0
2020-07-06,30.0631,70.6339,39.8,34.4,38.8,43.6,0.0,32,1,DG Khan,Punjab,0
2020-07-07,24.8607,67.0011,33.1,29.3,55.8,31.8,11.0,0,0,Karachi,Sindh,0
2020-07-07,30.0631,70.6339,39.1,33.8,43.0,43.2,0.0,19,1,DG Khan,Punjab,0
2020-07-08,30.0631,70.6339,38.3,34.2,28.1,41.8,0.0,36,1,DG Khan,Punjab,0
2020-07-10,31.5204,74.3587,42.9,31.2,40.1,48.9,0.0,12,1,Lahore,Punjab,0
2020-07-11,31.5204,74.3587,42.7,34.3,30.2,47.1,0.0,43,1,Lahore,Punjab,0
2020-07-11,30.1798,66.975,39.2,28.7,38.0,40.3,8.5,0,0,Quetta,Balochistan,0
2020-07-12,31.5204,74.3587,41.2,31.2,40.9,43.6,0.0,38,1,Lahore,Punjab,0
2020-07-13,31.5204,74.3587,41.1,31.9,40.3,45.2,0.0,32,1,Lahore,Punjab,0
2020-07-14,31.5204,74.3587,40.1,33.8,38.3,42.9,0.0,25,1,Lahore,Punjab,0
2020-07-15,31.5204,74.3587,38.4,33.4,31.4,42.9,0.0,38,1,Lahore,Punjab,0
2020-07-15,31.5204,74.3587,36.1,34.3,40.4,35.7,7.5,3,0,Lahore,Punjab,0
2020-07-16,31.5204,74.3587,38.3,34.4,41.3,40.7,0.0,41,1,Lahore,Punjab,0
2020-07-19,27.7052,68.8574,35.7,28.5,55.4,35.8,27.6,3,0,Sukkur,Sindh,0
2020-07-23,30.1575,71.5249,34.6,33.5,38.7,36.9,18.3,3,0,Multan,Punjab,0
2020-07-27,31.4504,73.135,34.3,31.5,40.3,36.9,5.3,4,0,Faisalabad,Punjab,0
2020-07-31,25.396,68.3578,34.7,29.6,61.0,35.7,13.6,0,0,Hyderabad,Sindh,0
2020-08-04,30.1798,66.975,35.3,26.8,33.9,33.5,15.5,4,0,Quetta,Balochistan,0
2020-08-08,31.5204,74.3587,32.6,33.0,39.3,33.2,1.2,2,0,Lahore,Punjab,0
2020-08-12,27.7052,68.8574,32.3,28.2,59.5,34.7,6.8,3,0,Sukkur,Sindh,0
2020-08-16,30.1575,71.5249,34.9,31.6,49.9,37.6,5.0,1,0,Multan,Punjab,0
2020-08-20,31.4504,73.135,35.8,34.9,45.1,34.6,25.9,2,0,Faisalabad,Punjab,0
2020-08-24,25.396,68.3578,36.7,29.9,48.3,35.3,22.8,4,0,Hyderabad,Sindh,0
2020-08-28,24.8607,67.0011,34.0,28.5,48.3,34.5,11.5,1,0,Karachi,Sindh,0
2020-09-01,31.5204,74.3587,33.0,30.2,45.3,34.2,28.0,3,0,Lahore,Punjab,0
2020-09-05,27.7052,68.8574,30.5,27.4,56.7,31.5,1.4,4,0,Sukkur,Sindh,0
2020-09-09,30.1575,71.5249,35.5,31.6,40.4,38.4,21.9,4,0,Multan,Punjab,0
2020-09-13,31.4504,73.135,29.1,31.1,49.7,29.7,25.3,1,0,Faisalabad,Punjab,0
2020-09-17,25.396,68.3578,35.1,26.1,52.2,37.3,29.2,4,0,Hyderabad,Sindh,0
2020-09-21,24.8607,67.0011,31.1,29.6,51.1,33.0,8.2,0,0,Karachi,Sindh,0
2020-09-25,30.1798,66.975,29.5,20.8,29.4,27.7,13.3,1,0,Quetta,Balochistan,0
2020-09-29,31.5204,74.3587,36.5,29.3,45.4,36.1,10.6,1,0,Lahore,Punjab,0
2020-10-03,25.396,68.3578,30.5,29.9,47.6,30.4,4.2,2,0,Hyderabad,Sindh,0
2020-10-07,24.8607,67.0011,29.6,23.9,54.7,31.2,2.0,5,0,Karachi,Sindh,0
2020-10-11,30.1798,66.975,23.2,20.3,36.0,22.5,0.5,2,0,Quetta,Balochistan,0
2020-10-15,31.5204,74.3587,29.5,24.8,46.3,29.6,0.6,6,0,Lahore,Punjab,0
2020-10-19,27.7052,68.8574,29.4,25.9,60.1,29.3,1.9,13,0,Sukkur,Sindh,0
2020-10-23,30.1575,71.5249,27.9,25.9,38.7,27.1,1.2,12,0,Multan,Punjab,0
2020-10-27,31.4504,73.135,29.1,22.6,39.1,27.3,1.9,4,0,Faisalabad,Punjab,0
2020-10-31,25.396,68.3578,33.7,27.5,58.9,36.1,4.4,11,0,Hyderabad,Sindh,0
2020-11-04,30.1798,66.975,18.4,15.6,37.8,17.8,0.5,11,0,Quetta,Balochistan,0
2020-11-08,31.5204,74.3587,24.8,15.6,37.1,27.4,3.1,11,0,Lahore,Punjab,0
2020-11-12,27.7052,68.8574,22.7,23.8,50.0,21.7,0.6,8,0,Sukkur,Sindh,0
2020-11-16,30.1575,71.5249,25.3,11.4,50.0,26.8,0.3,5,0,Multan,Punjab,0
2020-11-20,31.4504,73.135,19.0,17.0,44.4,17.3,1.3,13,0,Faisalabad,Punjab,0
2020-11-24,25.396,68.3578,26.5,23.3,61.1,29.3,2.2,8,0,Hyderabad,Sindh,0
2020-11-28,24.8607,67.0011,26.1,18.0,53.5,25.0,1.8,7,0,Karachi,Sindh,0
2020-12-02,30.1575,71.5249,19.5,7.8,46.4,20.8,4.6,5,0,Multan,Punjab,0
2020-12-06,31.4504,73.135,13.9,10.8,39.2,16.8,1.8,3,0,Faisalabad,Punjab,0
2020-12-10,25.396,68.3578,18.8,17.2,48.0,21.1,0.4,2,0,Hyderabad,Sindh,0
2020-12-14,24.8607,67.0011,24.0,19.3,56.2,26.3,0.3,13,0,Karachi,Sindh,0
2020-12-18,30.1798,66.975,10.5,10.4,30.9,11.3,0.7,3,0,Quetta,Balochistan,0
2020-12-22,31.5204,74.3587,13.9,7.6,51.2,15.9,4.4,7,0,Lahore,Punjab,0
2020-12-26,27.7052,68.8574,18.5,18.4,55.7,16.6,2.2,4,0,Sukkur,Sindh,0
2020-12-30,30.1575,71.5249,13.3,11.7,48.4,12.2,2.2,9,0,Multan,Punjab,0
2021-01-03,25.396,68.3578,23.0,20.1,62.6,23.6,1.7,5,0,Hyderabad,Sindh,0
2021-01-07,24.8607,67.0011,22.4,14.4,47.7,23.0,4.1,6,0,Karachi,Sindh,0
2021-01-11,30.1798,66.975,13.5,9.8,23.1,13.4,1.2,3,0,Quetta,Balochistan,0
2021-01-15,31.5204,74.3587,11.7,6.4,49.3,14.5,1.0,2,0,Lahore,Punjab,0
2021-01-19,27.7052,68.8574,20.6,20.3,54.2,20.2,5.0,2,0,Sukkur,Sindh,0
2021-01-23,30.1575,71.5249,13.1,11.5,51.9,14.4,1.7,13,0,Multan,Punjab,0
2021-01-27,31.4504,73.135,12.4,13.7,52.6,11.1,4.1,6,0,Faisalabad,Punjab,0
2021-01-31,25.396,68.3578,19.5,15.3,50.9,19.3,4.6,3,0,Hyderabad,Sindh,0
2021-02-04,30.1798,66.975,12.6,12.4,34.5,13.1,3.1,2,0,Quetta,Balochistan,0
2021-02-08,31.5204,74.3587,17.1,15.5,48.3,19.5,1.3,9,0,Lahore,Punjab,0
2021-02-12,27.7052,68.8574,24.3,20.1,48.9,25.1,1.8,14,0,Sukkur,Sindh,0
2021-02-16,30.1575,71.5249,14.1,10.3,39.1,12.7,4.4,3,0,Multan,Punjab,0
2021-02-20,31.4504,73.135,17.7,10.7,44.1,15.8,2.9,9,0,Faisalabad,Punjab,0
2021-02-24,25.396,68.3578,24.2,18.5,48.6,25.9,2.8,12,0,Hyderabad,Sindh,0
2021-02-28,24.8607,67.0011,21.7,15.5,55.1,23.5,4.7,7,0,Karachi,Sindh,0
2021-03-04,30.1798,66.975,22.9,19.9,22.6,22.1,2.6,8,0,Quetta,Balochistan,0
2021-03-08,31.5204,74.3587,22.2,22.0,51.7,20.5,0.2,3,0,Lahore,Punjab,0
2021-03-12,27.7052,68.8574,27.0,22.3,50.3,27.5,0.8,4,0,Sukkur,Sindh,0
2021-03-16,30.1575,71.5249,24.4,22.9,46.4,24.3,2.8,8,0,Multan,Punjab,0
2021-03-20,31.4504,73.135,22.4,15.9,47.4,23.6,4.4,2,0,Faisalabad,Punjab,0
2021-03-24,25.396,68.3578,25.1,23.5,55.9,25.1,2.0,7,0,Hyderabad,Sindh,0
2021-03-28,24.8607,67.0011,34.0,22.0,60.0,33.0,3.2,2,0,Karachi,Sindh,0
2021-04-01,31.5204,74.3587,35.6,29.0,33.9,37.0,3.8,4,0,Lahore,Punjab,0
2021-04-05,27.7052,68.8574,38.0,26.4,40.4,38.0,1.5,2,0,Sukkur,Sindh,0
2021-04-09,30.1575,71.5249,28.6,21.3,22.2,28.3,1.1,13,0,Multan,Punjab,0
2021-04-13,31.4504,73.135,30.1,25.8,22.7,29.2,4.4,5,0,Faisalabad,Punjab,0
2021-04-17,25.396,68.3578,33.1,28.0,45.1,34.0,3.0,14,0,Hyderabad,Sindh,0
2021-04-20,29.5436,67.8772,49.3,21.7,11.5,53.4,0.0,20,1,Sibi,Balochistan,4
2021-04-21,24.8607,67.0011,30.8,29.3,34.2,29.0,1.5,6,0,Karachi,Sindh,0
2021-04-21,29.5436,67.8772,49.0,23.3,10.0,51.9,0.0,14,1,Sibi,Balochistan,0
2021-04-22,29.5436,67.8772,47.5,21.7,10.0,52.6,0.0,20,1,Sibi,Balochistan,0
2021-04-23,29.5436,67.8772,46.6,24.5,10.0,50.2,0.0,24,1,Sibi,Balochistan,0
2021-04-25,30.1798,66.975,23.1,21.3,16.5,25.8,2.8,6,0,Quetta,Balochistan,0
2021-04-29,31.5204,74.3587,29.8,24.6,30.2,32.0,2.0,13,0,Lahore,Punjab,0
2021-05-01,28.2769,68.4514,50.8,33.8,33.2,54.5,0.0,40,1,Jacobabad,Sindh,8
2021-05-02,28.2769,68.4514,50.4,32.4,26.7,54.7,0.0,38,1,Jacobabad,Sindh,0
2021-05-03,28.2769,68.4514,49.0,33.4,32.3,52.4,0.0,10,1,Jacobabad,Sindh,0
2021-05-03,25.396,68.3578,39.7,33.7,42.6,39.1,1.7,14,0,Hyderabad,Sindh,0
2021-05-04,28.2769,68.4514,48.3,33.6,32.8,52.1,0.0,14,1,Jacobabad,Sindh,0
2021-05-05,28.2769,68.4514,46.8,32.7,22.2,50.9,0.5,17,1,Jacobabad,Sindh,0
2021-05-06,28.2769,68.4514,45.8,35.3,29.7,51.4,0.0,42,1,Jacobabad,Sindh,0
2021-05-07,24.8607,67.0011,42.1,31.8,32.3,43.0,2.3,8,0,Karachi,Sindh,0
2021-05-07,28.2769,68.4514,45.3,33.9,30.8,51.1,0.0,37,1,Jacobabad,Sindh,0
2021-05-11,30.1798,66.975,33.1,26.1,10.0,33.8,5.0,12,0,Quetta,Balochistan,0
2021-05-12,24.8607,67.0011,43.8,34.4,31.0,48.6,0.0,13,1,Karachi,Sindh,3
2021-05-13,24.8607,67.0011,42.6,35.0,37.7,45.0,0.0,43,1,Karachi,Sindh,0
2021-05-14,24.8607,67.0011,41.9,33.6,33.7,47.7,0.3,40,1,Karachi,Sindh,0
2021-05-15,31.5204,74.3587,38.8,27.9,37.2,37.7,1.9,13,0,Lahore,Punjab,0
2021-05-19,27.7052,68.8574,37.5,32.4,33.6,40.2,3.4,12,0,Sukkur,Sindh,0
2021-05-22,26.2442,68.41,50.2,35.0,34.9,56.1,0.0,26,1,Nawabshah,Sindh,6
2021-05-23,26.2442,68.41,49.4,34.8,31.6,53.7,0.0,39,1,Nawabshah,Sindh,0
2021-05-23,30.1575,71.5249,36.9,33.3,26.0,38.1,3.6,13,0,Multan,Punjab,0
2021-05-24,26.2442,68.41,48.4,35.4,36.5,53.4,0.0,23,1,Nawabshah,Sindh,0
2021-05-25,26.2442,68.41,47.7,32.9,22.3,52.7,0.8,22,1,Nawabshah,Sindh,0
2021-05-27,31.4504,73.135,36.2,32.2,34.2,39.1,4.1,3,0,Faisalabad,Punjab,0
2021-05-31,25.396,68.3578,38.2,33.1,41.7,38.8,1.3,2,0,Hyderabad,Sindh,0
2021-06-04,30.1798,66.975,43.5,32.6,11.5,44.4,1.0,3,0,Quetta,Balochistan,0
2021-06-05,30.1575,71.5249,46.1,34.2,17.3,50.8,0.0,24,1,Multan,Punjab,2
2021-06-06,30.1575,71.5249,44.8,33.4,24.2,49.0,0.0,21,1,Multan,Punjab,0
2021-06-07,30.1575,71.5249,44.3,36.7,23.0,48.5,0.0,40,1,Multan,Punjab,0
2021-06-08,31.5204,74.3587,38.1,30.5,36.5,40.2,0.9,9,0,Lahore,Punjab,0
2021-06-12,27.7052,68.8574,38.1,31.1,47.6,40.1,1.8,2,0,Sukkur,Sindh,0
2021-06-15,25.396,68.3578,45.2,36.9,28.1,50.8,0.0,36,1,Hyderabad,Sindh,3
2021-06-16,30.1575,71.5249,39.9,30.3,27.4,40.3,0.9,2,0,Multan,Punjab,0
2021-06-16,25.396,68.3578,44.7,32.6,34.6,48.0,0.0,43,1,Hyderabad,Sindh,0
2021-06-17,25.396,68.3578,43.7,33.5,22.4,46.1,0.0,16,1,Hyderabad,Sindh,0
2021-06-18,25.396,68.3578,42.5,36.5,32.7,47.9,0.0,18,1,Hyderabad,Sindh,0
2021-06-19,25.396,68.3578,41.5,34.2,22.1,46.3,0.0,28,1,Hyderabad,Sindh,0
2021-06-20,25.396,68.3578,40.8,35.7,29.5,44.1,0.0,36,1,Hyderabad,Sindh,0
2021-06-20,31.4504,73.135,38.3,33.1,33.4,40.1,1.4,13,0,Faisalabad,Punjab,0
2021-06-21,25.396,68.3578,39.9,34.4,23.2,43.5,0.0,30,1,Hyderabad,Sindh,0
2021-06-22,25.396,68.3578,39.1,35.8,35.2,43.7,0.0,21,1,Hyderabad,Sindh,0
2021-06-24,25.396,68.3578,35.7,33.2,45.2,36.7,4.5,6,0,Hyderabad,Sindh,0
2021-06-25,27.7052,68.8574,47.9,32.6,31.0,50.0,0.0,28,1,Sukkur,Sindh,5
2021-06-26,27.7052,68.8574,47.0,37.0,27.7,50.4,0.0,36,1,Sukkur,Sindh,0
2021-06-27,27.7052,68.8574,45.9,34.9,32.3,48.7,0.0,27,1,Sukkur,Sindh,0
2021-06-28,27.7052,68.8574,45.2,32.7,33.6,51.2,0.0,15,1,Sukkur,Sindh,0
2021-06-28,24.8607,67.0011,40.6,31.5,44.5,42.5,1.8,11,0,Karachi,Sindh,0
2021-06-29,27.7052,68.8574,44.5,35.8,22.9,48.1,0.0,32,1,Sukkur,Sindh,0
2021-07-02,30.1575,71.5249,33.3,35.7,52.6,31.4,8.7,3,0,Multan,Punjab,0
2021-07-06,31.4504,73.135,33.3,30.2,43.5,32.2,14.3,0,0,Faisalabad,Punjab,0
2021-07-08,28.4212,70.2957,44.6,31.6,37.6,50.1,0.0,11,1,Rahim Yar Khan,Punjab,1
2021-07-09,28.4212,70.2957,44.0,35.0,40.5,46.9,0.0,37,1,Rahim Yar Khan,Punjab,0
2021-07-10,28.4212,70.2957,42.7,31.4,42.3,46.5,0.0,41,1,Rahim Yar Khan,Punjab,0
2021-07-10,25.396,68.3578,37.8,28.4,48.9,37.5,21.4,1,0,Hyderabad,Sindh,0
2021-07-11,28.4212,70.2957,41.7,32.7,40.0,44.1,0.0,30,1,Rahim Yar Khan,Punjab,0
2021-07-12,28.4212,70.2957,41.2,33.5,40.4,46.1,0.0,27,1,Rahim Yar Khan,Punjab,0
2021-07-13,28.4212,70.2957,40.1,33.0,29.6,45.0,0.0,18,1,Rahim Yar Khan,Punjab,0
2021-07-14,28.4212,70.2957,38.8,31.0,30.7,41.8,0.0,10,1,Rahim Yar Khan,Punjab,0
2021-07-14,24.8607,67.0011,37.5,32.7,61.0,36.4,8.9,2,0,Karachi,Sindh,0
2021-07-15,28.4212,70.2957,38.7,32.5,36.2,44.4,0.0,10,1,Rahim Yar Khan,Punjab,0
2021-07-18,30.1798,66.975,37.8,29.4,34.1,37.8,27.1,4,0,Quetta,Balochistan,0
2021-07-18,31.5204,74.3587,42.4,36.0,39.6,46.0,0.0,44,1,Lahore,Punjab,0
2021-07-19,31.5204,74.3587,42.3,32.0,36.6,44.4,0.0,18,1,Lahore,Punjab,0
2021-07-20,31.5204,74.3587,41.1,31.0,35.6,45.4,0.0,22,1,Lahore,Punjab,0
2021-07-21,31.5204,74.3587,40.1,33.0,40.6,42.7,0.0,32,1,Lahore,Punjab,0
2021-07-22,31.5204,74.3587,39.2,32.7,38.7,41.5,6.4,2,0,Lahore,Punjab,0
2021-07-22,31.5204,74.3587,39.3,33.4,39.2,45.0,0.0,20,1,Lahore,Punjab,0
2021-07-23,31.5204,74.3587,38.7,34.6,39.5,43.0,0.0,40,1,Lahore,Punjab,0
2021-07-24,31.5204,74.3587,37.3,32.3,28.5,40.1,0.0,42,1,Lahore,Punjab,0
2021-07-26,27.7052,68.8574,32.2,34.1,56.2,33.8,24.9,2,0,Sukkur,Sindh,0
2021-07-30,30.1575,71.5249,34.6,28.6,51.0,33.3,23.9,4,0,Multan,Punjab,0
2021-08-03,25.396,68.3578,33.2,28.0,48.3,36.1,3.0,0,0,Hyderabad,Sindh,0
2021-08-07,24.8607,67.0011,32.0,33.8,54.3,31.4,9.2,1,0,Karachi,Sindh,0
2021-08-11,30.1798,66.975,36.2,26.9,27.3,38.0,15.2,2,0,Quetta,Balochistan,0
2021-08-15,31.5204,74.3587,36.7,30.7,51.0,35.6,18.0,3,0,Lahore,Punjab,0
2021-08-19,27.7052,68.8574,35.7,32.9,54.1,36.1,4.7,3,0,Sukkur,Sindh,0
2021-08-23,30.1575,71.5249,39.0,27.6,48.5,41.4,21.4,2,0,Multan,Punjab,0
2021-08-27,31.4504,73.135,35.6,32.5,37.3,35.2,18.1,1,0,Faisalabad,Punjab,0
